Tour Name,Type,Rating,Number of reviews,Price,Duration
800. Private Transfer from Haneda Airport HND to Tokyo City by Business Class Car,Transportation Services,,,$304.45,25 minutes
801. One day tour in Tokyo to visit major tourist spots by learning Japanese culture,Public Transportation Tours,,,$37.13,6+ hours
802. Dinner Cruise in Tokyo Bay With The Symphony,Sightseeing Passes,,,$231.68,3 hours
803. Tokyo 7-Hour Free Choice Tour,Walking Tours,,,$16.09,6+ hours
804. Licensed Guide Tokyo Traditional Dyeing Experience Tour,Art Tours,,,"$1,485.12",2–3 hours
805. Shinjuku Golden-gai and Kabuki-cho Bar Hopping with Master Guide,Food & Drink,,,$25.00,2–3 hours
806. Departure Private Transfer: Tokyo to Haneda Airport HND in Van,Transportation Services,,,"$1,035.00",30 minutes
"807. Hitachi Seaside Park, Mito Kairakuen Park, Pear Picking",Audio Guides,,,"$3,379.00",6+ hours
808. Private Worship Ceremony and Guided Tour at Kanda Shrine in Tokyo,Walking Tours,,,$807.25,1–2 hours
809. 8-hour Kamakura tour by qualified guide using public transportation,Historical Tours,,,$161.34,6+ hours
810. Tokyo shopping from home,Shopping Tours,,,$760.19,1 day
811. 3-Hour Odaiba Scenic Photo Walking Tour,Rail Tours,,,$105.59,3 hours
812. 1 Day Family Fun at Fuji Private Tour,Full-day Tours,,,$376.48,10–11 hours
813. Japanese Sake tasting experience + Japanese snack set (Asakusa),Food & Drink,,,$75.70,2 hours
814. Japanese Dance Experience Program,Dance Lessons,,,$86.88,1–2 hours
815. Shibuya All You Can Eat & Drink Tour,Food & Drink,,,$92.82,3–4 hours
816. Kamakura Temples Private Guided Tour from Tokyo,Historical Tours,,,"$1,700.00",6+ hours
817. Private Hakone Sightseeing Tour - Bilingual Chauffeur,Transportation Services,,,$101.36,6+ hours
818. Experience Edo Tokyo Walking Tour,Bus Tours,,,"$1,200.00",4 hours
819. [14:00~] 60 minutes of flight simulation experience in a real cockpit! A must-see for airplane lovers,Fun & Games,,,"$2,300.00",1 hour
820. Private Wine Tasting Tour in Yamanashi Prefecture,Spring Break,,,$86.88,6+ hours
821. Strawberry Picking and Snow experience at Mt Fuji ski resort for VIP,Bus Tours,,,$673.32,6+ hours
822. 10 Days In-depth Discover Japan Deluxe Tour,Audio Guides,,,$148.42,3+ days
823. Private Hiking Activity near Tokyo,Climbing,,,$38.06,1–2 days
824. Tokyo Haneda Airport (HND) to Tachikawa City - Round-Trip Private Transfer,Transportation Services,,,$600.00,2–3 hours
825. Tokyo 1-Day Private Tour/Customization & Hotel Gathering OK!,Historical Tours,,,$98.00,6–7 hours
826. Private Walking Tour of Tokyo with a water bus ride. Rate for groups,Historical Tours,,,$35.00,5 hours
827. Drink comparison experience with sake matching test [Ochanomizu store],Restaurants,,,$144.80,1–2 days
828. 2-Hour Japanese Lunch Cooking Guided Class in Kagurazaka,Lunch,,,$930.33,2 hours
829. Private Tesla Car Tour of Tokyo's Best Sights - Half-Day,Bus Tours,,,$434.40,4–6 hours
"830. Mobile Wi-Fi Router Rental in Shinjuku, Tokyo",Rentals,,,$37.21,3–30 days
831. KAIZEN 5S town Ashikaga city tour tour,Full-day Tours,,,$361.69,6+ hours
832. Transforming Your Look with Second-Hand Fashion,Shopping Tours,,,$45.00,2 hours
"833. Private Karuizawa, Nagano Tour - Bilingual Chauffeur",Transportation Services,,,$300.00,6+ hours
834. 7-Day Best Japan Tour,Historical Tours,,,$955.67,3+ days
835. Private Adventure Tour in Northern Ibaraki and Washi Paper Making,Climbing,,,$101.94,6+ hours
836. Transfer in private vehicle from Tokyo City Center to Narita Airport,Transportation Services,,,$220.00,1–2 hours
837. Tokyo Helicopter Cruising,Full-day Tours,,,"$1,025.65",20–90 minutes
838. Tokyo Haneda Airport (HND) to Tokyo - Round-Trip Private Transfer,Transportation Services,,,"$2,751.18",1–2 hours
839. Private Airport Transfer from Narita Airport to Tokyo,Transportation Services,,,$650.00,1–2 hours
840. Karate trial lesson Traditional Japanese martial arts in Tokyo,Sports Lessons,,,$339.00,1 hour
841. Thriving Shinjuku History & Fancy Sake Walking Tour,Food & Drink,,,$371.98,2–3 hours
842. Personal Tokyo Photographer for Hire,Full-day Tours,,,$289.60,2 hours
843. 6 Days Best Japan Group Tours,Bus Tours,,,$75.00,3+ days
844. Handwriting Kanji with Ink on T-shirt Private Art Class in Tokyo,Art Classes,,,$781.91,2–3 hours
845. Mt. Fuji & Hakone a day tour from Tokyo by car,Bus Tours,,,"$1,009.97",6+ hours
846. Private 6-Day Japan Exclusive Tour,Food & Drink,,,$28.96,3+ days
847. Special event with Kabuki workshop at National Theatre,Theater Shows,,,$376.48,4 hours
"848. 1Day private Nature＆Hotspring Tour /English speaking driver(Chater,Chauffeur)",Historical Tours,,,$286.43,6+ hours
849. Sake Brewery and Spiritual Nature Tour in Okutama Tokyo,Spring Break,,,$202.80,8–10 hours
850. Sake Sake Beer Tour in Tokyo,Food & Drink,,,$71.89,2 hours
851. Tokyo Night Tour: A Unique Experience,Bus Tours,,,$66.83,4–5 hours
852. Exploring Everyday Life in Downtown Tokyo Walking with shiba-inu,Food & Drink,,,"$2,533.98",3–4 hours
853. Experience Sunday International Party in Shibuya,Food & Drink,,,$190.28,2–3 hours
854. Eat and drink with a local in hidden gems,Food & Drink,,,$94.12,4 hours
855. Mt. Fuji Cherry Blossom One Day Tour From Tokyo,Adventure Tours,,,$130.32,8–10 hours
856. Full Day Private Tour in Hida and Great Limestone Cave,Bus Tours,,,$579.20,6+ hours
857. Tokyo Disneyland Shared Transfer : from Tokyo to Disneyland (One Way),Transportation Services,,,$144.85,1–2 hours
858. Tokyo Airport Transfers: Tokyo City to Tokyo-Narita Airport NRT in Luxury Car,Transportation Services,,,$450.00,1 hour
859. Private Koto Workshop Tatami Room in Tokyo,Music Classes,,,$275.12,1 hour
860. Private Narita Airport Pickup / Drop off (Tokyo),Transportation Services,,,$159.28,1–3 hours
861. 5-Hour JDM Car Scene Tour in Tokyo - Tokyo Drift Veilside RX7,Bus Tours,,,$159.28,2–5 hours
862. Yanesen: Explore Traditional Life & Beauty Tour,City Tours,,,$120.00,3–4 hours
863. Transfer in private minivan from Tokyo City Center to Narita Airport,Transportation Services,,,$96.07,1–2 hours
864. Honeymoon Special drive tour in Tokyo with Photographic & Bubble,Luxury Car Tours,,,$440.00,4 hours
865. Japan Autumn & Winter Illuminations Discovery Tour (12 Days),Photo Shoots,,,$230.77,3+ days
866. Tokyo Photogenic spots visiting tour,Bus Tours,,,$78.90,4 hours
867. ANGLE - Tokyo With a Local Photographer,Walking Tours,,,$36.20,1 hour
868. Tokyo Walking Tour with professional guide,Historical Tours,,,"$3,200.00",90–120 minutes
869. Tailored Tokyo city tour based on request,Rail Tours,,,$224.65,4–8 hours
870. VEGAN Gluten-Free/ HARAL Ramen and Gyouza,Food & Drink,,,"$5,939.00",3 hours
871. From Tokyo: Nikko UNESCO Shrines and Nature Walk Private Day Tour,Historical Tours,,,$217.20,9–11 hours
"872. Nikko Private Tour from Tokyo: English Speaking Driver, No guide",Bus Tours,,,$371.28,6+ hours
873. Shinjuku Walking Food Tour with Ninja Action Video Shooting,Sports Lessons,,,$334.00,3 hours
874. Highlight walking tour in Tokyo with Maru,Shore Excursions,,,$422.35,3–12 hours
875. Private Transfer: Haneda Airport HND to Tokyo in Sedan Car,Transportation Services,,,$57.92,30 minutes
876. One day Experience Tokyo & Edo Culture,Historical Tours,,,$39.31,6+ hours
877. Tokyo to Tokyo Narita Airport (NRT) - Departure Private Car Transfer,Transportation Services,,,$286.43,1–2 hours
878. Japanese Homemade Bread Lesson,Food & Drink,,,$604.54,2–3 hours
879. Japan Discovery Tour (12 Days),Bus Tours,,,$204.50,3+ days
880. Private tour in Tokyo on your own custom itinerary,Public Transportation Tours,,,$46.19,6–8 hours
"881. World famous fish markets, street food or/and sushi",Public Transportation Tours,,,$59.40,4 hours
882. Exquisite Noh Experience at a Japanese Family's Home Theater,Art Classes,,,$310.59,2 hours
883. Tokyo Highlights Food and Culture,Architecture Tours,,,$571.96,6+ hours
884. Tokyo Hikarigaoka Park Photo Shooting,Photo Shoots,,,$84.11,1–2 hours
885. Private Walking Tour with Bar Hopping in Shinjuku,Food & Drink,,,$21.72,2–3 hours
886. Private dinner : Sowaka Bar in Tokyo Ginza,Food & Drink,,,$72.77,3 hours
887. Tokyo Tour for Children to Enjoy! Japanese Crafts Experience,Food & Drink,,,$749.52,6+ hours
888. Off the beaten path special in Tokyo by walking,Food & Drink,,,"$1,107.71",5 hours
889. Private Custom Hakone from Tokyo with Pirate Ship Cruise,Rail Tours,,,$398.20,6+ hours
"890. Nikko, Nature and World Heritage",Bus Tours,,,$615.40,6+ hours
891. Private Night Walking Tour Shibuya Bar Hopping w. Master Guide,Food & Drink,,,$212.21,2–3 hours
892. Shibuya Anime Tour,Walking Tours,,,$151.64,3 hours
893. Private Muslim Tokyo Tour,Bus Tours,,,$108.60,6+ hours
894. Round trip transfer in private minivan from-to Narita Airport-Tokyo City Center,Transportation Services,,,$422.35,1–2 hours
895. [Private] Tokyo Personalized Tour (Guide Only),Historical Tours,,,$286.43,6–8 hours
896. Tokyo Off the Beaten Track Local Sake Drinking Tour,Food & Drink,,,$832.59,2–3 hours
"897. Discover the Secrets of Pachinko, Japan's Most Popular Game",VR Experiences,,,$63.71,3 hours
898. 【30minutes】Showa Retro Rickshaw Tour in Asakusa,City Tours,,,"$1,027.52",30 minutes
899. Private 7-Day Japan Classic Tour,Food & Drink,,,$434.40,3+ days
900. Tokyo Airport Transfers: Tokyo City to Tokyo-Narita Airport NRT in Business Car,Transportation Services,,,$260.00,1 hour
901. 10-Day Golden Route of Japan,Bus Tours,,,$39.31,3+ days
902. 1 Day Tokyo Highlight Including a Cultural Workshop,Historical Tours,,,$63.78,6+ hours
903. Private photo shooting in Tokyo,Rail Tours,,,$43.02,1–2 hours
904. Private Market Tour and Traditional Japanese Cooking Class in Asakusa,Shopping Tours,,,"$1,194.74",3–4 hours
905. Private Transfer: Tokyo to Haneda Airport HND in Luxury Car,Transportation Services,,,$14.85,30 minutes
"906. Licensed Guide ""Wagashi"" (Japanese Sweets) Experience Tour (Tokyo)",Food & Drink,,,$275.12,2 hours
907. Private Transfer from Tokyo Port to Tokyo Haneda Int Airport(HND),Transportation Services,,,$85.00,25 minutes
908. Private Transfer: Tokyo to Haneda Airport HND in Sedan Car,Transportation Services,,,$350.00,30 minutes
909. Private Sushi Making and Tsukiji Tour with Additional Activity,Food & Drink,,,$28.96,6 hours
910. Highlights of Tokyo Day Trip for Standard Interests,Historical Tours,,,$36.20,6+ hours
911. Male Kimono Plan,Fun & Games,,,$59.40,2 hours
912. High quality Japanese food for Japanese gourmets,Food & Drink,,,"$9,701.53",2–4 minutes
913. Mt. Fuji’s Fifth Station & Lake Kawaguchiko Cycling Tour,Walking Tours,,,$178.21,6+ hours
914. Samurai Private Tour with Lantern Making in Mito,Lantern Festival,,,$65.16,6+ hours
915. Private Cooking Lesson With a Tokyo Native Makiko in Her Local Home,Unique Experiences,,,$181.00,3 hours
916. Sacred Morning Walk and Brunch Meiji Shrine,Breakfast,,,"$1,188.09",1–2 hours
917. Machi-Nomi Kita-senju (Bar hopping night tour in local haunts),Food & Drink,,,$252.73,3 hours
918. Private Chartered Taxi Tour of Tokyo,Historical Tours,,,$130.32,6+ hours
919. Full-day Private Tour in Hakone with Hotel Pick-up,Historical Tours,,,$143.35,8–10 hours
920. Professionally guided Tokyo Private Walking Tour,Rail Tours,,,$586.44,6–8 hours
921. Book a jumbo taxi in Tokyo,Transportation Services,,,$72.40,6+ hours
922. Tokyo by Yourself with English Speaking driver by Van -4 or 6 hrs,Transportation Services,,,$25.34,4–8 hours
923. Tokyo Downtown Photoshoot & Learn,Art Classes,,,$181.00,2–3 hours
924. 2 Hours Walking Tour in Asakusa,Historical Tours,,,$417.52,2 hours
925. Private Transfer: Haneda Airport HND to Tokyo in Luxury Car,Transportation Services,,,$52.79,30 minutes
926. Departure Private Transfer: Tokyo to Haneda Airport HND in Sedan,Transportation Services,,,$269.58,30 minutes
927. Design and Take Home Your Glass Art with Japanese Motifs in Tokyo,Art Classes,,,$108.60,1–2 hours
928. Private Full-Day Guided Tour in Mount Fuji Lakes,Transportation Services,,,$253.40,11–13 hours
929. To Become Younger Food Tour in Asakusa Tokyo,Food & Drink,,,$760.00,3 hours
930. Nihon Buyō Japanese Traditional Dance Experience,Dance Lessons,,,$159.28,45 minutes
931. Akihabara Private Tour with an Anime Lover Guide,Historical Tours,,,$408.41,3 hours
932. Asakusa: Ultimate 3-geisha experience for group of max 4 after history tour,Full-day Tours,,,$477.84,6 hours
933. Full Day Tokyo Chartered Taxi Tour From Narita,Transportation Services,,,$185.34,6+ hours
934. Tokyo Haneda Airport Private Transfer,Transportation Services,,,$50.55,40–60 minutes
935. Private Transfer from Tokyo Haneda Int Airport(HND) to Tokyo Port,Rail Tours,,,$800.00,25 minutes
936. Kawagoe Walking Tour & Traditional Japanese Experience,Food & Drink,,,$350.41,3–4 hours
937.  Japanese Restaurant SAKURA Sushi Lunch Set Reservation,Bus Tours,,,$101.36,1–2 hours
938. 2-Day Private Guided Historical Tour in Takayama City,Dinner,,,$112.33,2 days
939. Tokyo Imperial Palace International Group Jog,Architecture Tours,,,$398.20,2 hours
940. Discover your Tokyo -Private Tokyo Customized Walking Tour-,Food & Drink,,,$186.94,6+ hours
941. All you can drink food & drink tour,Food & Drink,,,$459.68,3 hours
942. Japanese Calligraphy and Local Shopping Street Walk,Transportation Services,,,$350.46,3–4 hours
943. Yokohama Cruise Port Private Transfer,Historical Tours,,,$224.65,1–10 hours
944. Licensed Guide Tokyo Seven Lucky Gods Temple and Shrine Tour,City Tours,,,$366.67,2 hours
945. 【30minutes】Edo Period Shitamachi Rickshaw Tour in Asakusa,Food & Drink,,,"$1,096.85",30 minutes
946. Yoko's plant-based home cooking experience in Tokyo,Transportation Services,,,$339.00,2–3 hours
947. SKY TREK Shinshu Myojinkan Private Jet Tour,Food & Drink,,,$505.47,3 days
948. Wagaya Japanese Cooking Lesson,Rail Tours,,,$175.21,3 hours
949. Nightlife one-stop experience / Discover the true Japan in TO GO Shrine,E-Bike Tours,,,$300.00,3–4 hours
950. Tokyo Winter Illumination Tour,Art Classes,,,$63.71,3 hours
951. The Imperial Hotel Japanese Kimono Private Experience,Bus Tours,,,"$1,737.59",2 hours
952. Barrier-Free Private Mt. Fuji Tour for Wheelchair Users,Historical Tours,,,$130.00,11–12 hours
953.  The best of Tokyo Walking tour,Transportation Services,,,$181.00,2 hours
954. Tokyo HND/NRT Airport / Hotel Private Pickup,Martial Arts Classes,,,$434.40,1 hour
955. Samurai Warrior Experience (with Costume Wearing),Bus Tours,,,$63.71,1–2 hours
956. Kamakura All Must-Sees Private Chauffeur Sightseeing with a Driver (Tokyo DEP.),Rentals,,,$280.82,6+ hours
957. Enjoy Tokyo Drive with Tuk Tuk Rent A Car!,Craft Classes,,,$161.34,2–6 hours
958. Hand Made Goshuin Book Experience Eco Friendly Upcycling,Rentals,,,$528.52,45 minutes
"959. Private training in Asakusa Dojo, variable start time, 80-min.",Full-day Tours,,,$477.84,1–2 hours
960. Paragliding in tandem style over Mount Fuji,Transportation Services,,,$159.28,6+ hours
961. Tokyo Haneda Airport (HND) to Tokyo - Arrival Private Transfer,Transportation Services,,,$133.33,45 minutes
962. Tokyo Departure Private Transfers from Tokyo City to Tokyo-Narita Airport NRT,Spas,,,$318.56,1 hour
963. Aroma Massage with cherry blossom infused oil,Public Transportation Tours,,,$181.00,2 hours
964. Private Tokyo Tour with a Japanese Guide,Full-day Tours,,,$138.57,6–8 hours
965. [Private] Tokyo Personalized Tour with An English Speaking Guide,Public Transportation Tours,,,$199.79,9–11 hours
966. 6-hour Tokyo tour with a qualified tour guide using public transport,Historical Tours,,,$325.80,6 hours
967. Tea ceremony tour in Ueno with kimono guide,Bus Tours,,,$637.12,4 hours
968. 2-Hour Tokyo Tour in Tokyo Drift Mazda RX7,Rail Tours,,,$350.46,2 hours
969. Private English / French / Spanish guiding tours,Transportation Services,,,$28.96,1–10 hours
970. Private Transfer from Nagasaki Hotels to Nagasaki Cruise Port,Full-day Tours,,,$181.00,10 minutes
971. Private Tokyo Tour - up to 9 Travelers,Art Classes,,,$133.33,6+ hours
972. Private Premium​ Plan Kimono & Japanese Tea Ceremony Experience,Architecture Tours,,,$340.00,3 hours
973. Street food and off the beaten track around Shibuya,Transportation Services,,,$97.74,6 hours
974. Private transfer: Tokyo to Tokyo Airport (HND),Architecture Tours,,,$157.79,1 hour
975. Tokyo Architecture and Contemporary Art Walking Tour with a local guide,Likely To Sell Out,,,$183.34,6–8 hours
"976. Fun Afternoon in Yanaka, Tokyo's old town",Valentine's Day Events,,,$231.68,3 hours
977.  Romantic Tour In Tokyo,Transportation Services,,,$235.88,2 hours
978. Private Transfer: Haneda Airport HND to Tokyo in Luxury Van,Transportation Services,,,$202.72,30 minutes
979. Tokyo Departure Private Transfers from Tokyo City to Tokyo-Narita Airport NRT,Transportation Services,,,,1 hour
980. Round trip transfer in private car from-to Narita Airport in Tokyo City Center,Bus Tours,,,,1–2 hours
981. Hakone Gotemba Full Day Tour from Tokyo with Guide and Vehicle,Photo Shoots,,,,6+ hours
982. Experience Asakusa with Local photographer - A Private Session,4WD Tours,,,,1 hour
983. 2 Days Drift Japan Tokyo to Ebisu Private Tour,Audio Guides,,,,2 days
984. Asakusa: Traditional exquisite lunch after history tour,Transportation Services,,,,4 hours
985. Private Haneda Airport Pickup / Drop off (Tokyo),Art Classes,,,,1–3 hours
"986. 45 Minutes Taisho Art Class Live Performance in Asakusa, Tokyo",Transportation Services,,,,45 minutes
987. One Way Private Shuttle to Nagano Ski Centers,Food & Drink,,,,8–10 hours
988. Japanese pub crawl in Tokyo,Food & Drink,,,,2–3 hours
989. Full-Day Private Tour in New Shibuya,Rail Tours,,,,5–6 hours
990. Taiko Japanese Drum Experience in Tokyo,Music Classes,,,,2 hours
991. Koto Japanese Traditional Instrument Experience,Photo Shoots,,,,45 minutes
992. Private Photo Session with a Local Photographer in Tokyo,Transportation Services,,,,30 minutes
993. Transfer in private vehicle from Tokyo Narita Airport to City Center,Transportation Services,,,,1–2 hours
994. Tokyo And Kanto Private Customized Day Tour,Lunch,,,,6+ hours
995. Yanagi gallery in Ginza for private hire With lunch,Public Transportation Tours,,,,1–2 hours
996. Bonsai and Washi Museum visit in Tokyo,Transportation Services,,,,4 hours
997. Departure Private Transfer from Tokyo City to Narita Airport NRT by Business Car,Historical Tours,,,,1–2 hours
998. 1 Day Seki Mino and National Treasure Inuyama Castle from Nagoya,Art Classes,,,,6+ hours
999. Akasaka Japanese Kimono Experience,Fun & Games,,,,2 hours
1000. Friends Plan,Historical Tours,,,,2 hours
1001. Full Day Tokyo Chartered Taxi Tour,City Tours,,,,6+ hours
"1002. Tokyo Walking tour 6 hours (Tsukuji Fish Market, Asakusa, Ginza, Imperial Palace",Fun & Games,,,,6 hours
1003. Wedding Photo Plan at Roppongi,Transportation Services,,,,3 hours
1004. Arrival Private Transfer: Haneda Airport HND to Tokyo in Van,Food & Drink,,,,30 minutes
1005. Private Guided Bar Hopping with Food and Drink Tour in Shinjuku,Public Transportation Tours,,,,2 hours
"1006. Tokyo highlights, High Rise Observatory, Meiji shrine, Imperial palace Garden",Transportation Services,,,,6+ hours
1007. Private Transfer from Tokyo City to Narita Airport NRT by van,Transportation Services,,,,1–2 hours
1008. Private Round Trip Transfer to Tokio Narita Airport,Audio Guides,,,,60–70 minutes
"1009. Watarase Keikoku Railway, Takatsudo Gorge,Illumination at Ashikaga Flower Park",Full-day Tours,,,,6+ hours
"1010. Private Lunch with Sayuki, the First Western Geisha",Transportation Services,,,,2 hours
1011. Transfer in private vehicle from Tokyo City Center to Narita Airport,Full-day Tours,,,,1–2 hours
1012. Private Custom Day Tour in Tokyo City,Transportation Services,,,,6+ hours
1013. Tokyo Private Transfer from Tokyo central to Narita Airport (NRT),Food & Drink,,,,1 hour
1014. Why don't you make Sushi? Sushi Making Experience,,,,,2–3 hours