Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
"walking the only valley in Tokyo, Eat and Compare Hot Pot Dishes.",Food & Drink,,,181.0,3.0
"Tokyo Customized All Day Tour Guide See, Taste, Feel local",Food & Drink,,,166.52,6.0
Private Walking Tour of Tokyo with a water bus ride,Historical Tours,,,133.33,6.0
Samurai Night Jack in Shibuya,Food & Drink,,,96.53,5.0
"“Your name.” Going on an electric bicycle <Roppongi, Shinanomachi, Shinjuku> A 6-hour tour of a sacred place. (With support car)",Movie Tours,,,217.2,6.0
Private Vacation Photography Session with Local Photographer in Tokyo,Photo Shoots,,,38371.73,1.0
"Lavender fields, peaches picking & shopping at Premium Outlets!",Full-day Tours,,,25.34,6.0
Private Photography in Shinjuku City,Photo Shoots,,,144.8,36.0
Tsukiji Outer Market Gourmet Tour!,Food & Drink,,,181.0,3.0
Tokyo Ramen Trailblazer Tour,Food & Drink,,,165.68,4.0
Tokyo Tea Ceremony Class at a Traditional Tea Room,Cooking Classes,,,86.88,2.0
Tokyo to Tokyo Haneda Airport (HND) - Departure Private Transfer,Transportation Services,,,891.07,0.8
Private guide tour in Tokyo half day,Historical Tours,,,100.0,3.5
3-Hour Discovering Tokyo Photo Walking Private Guided Tour,City Tours,,,61.54,3.0
Mt.TAKAO Trekking 1 Day Tour,Bus Tours,,,159.28,9.0
Private Departure Transfer : Central Tokyo City to Narita International Airport,Transportation Services,,,74.58,1.2
Samurai experience: art and soul of the sword,Sports Lessons,,,282.36,1.5
Kamakura Spanish Tour,Historical Tours,,,203.2,8.0
Private Kamakura Open Car Sightseeing Tour,Historical Tours,,,119.46,4.0
"Tokyo highlights, Landscape Garden, Kagurazaka Backstreet Walking",Rail Tours,,,71.68,6.5
Private Shinjuku Bar Hopping Tour with Guides,Food & Drink,,,350.46,3.5
Half Day Walking Tour To Find Edo Culture Including Ukiyoe in a Sumo Town Ryogoku,Historical Tours,,,94.12,4.0
Lolita Experience in Harajuku Tokyo,Fun & Games,,,202.72,1.5
"Cherry Blossom highlights, Asakusa, Ueno & Meiji shrine",Rail Tours,,,103.38,7.5
Tsukiji and Asakusa - 2 major complex,Food & Drink,,,104.98,6.0
Arrival Private Transfer from Narita Airport NRT to Tokyo City by Business Car,Transportation Services,,,928.52,1.0
Shinjuku Evening Walking Tour With a Local Guide,Historical Tours,,,21.72,3.0
Private Japan Photo Tour,Audio Guides,,,188.24,4.0
NRT Airport to/from Hakone (10-Seater),Transportation Services,,,120.0,1.5
"Connected International Party in Roppongi, Tokyo",Spring Break,,,238.92,3.0
Urban Geometry with Laurence Bouchard,Art Classes,,,690.0,4.0
"Cherry blossom highlights, Asakusa, Ueno, Yanaka",Historical Tours,,,188.24,7.5
"Photographer, Professional Photo shoot - Tokyo",Fun & Games,,,238.92,4.0
Asakusa: Japanese kitchen knife store visits after history tour,Audio Guides,,,1480.57,3.5
Beyond Tokyo Photo Trip,Photo Shoots,,,950.0,6.0
Tokyo Local Private Tour,Food & Drink,,,3299.0,3.0
Olympics Old and New Architecture Tour,Architecture Tours,,,289.6,4.0
Private Shibuya Bar Hopping with a Master Guide,Spring Break,,,134.79,2.5
Shibuya Private Food Tour Customized To Your Taste,Food & Drink,,,217.2,4.0
Private Transfer from Haneda Airport HND to Tokyo City by Business Class Car,Transportation Services,,,304.45,0.4
One day tour in Tokyo to visit major tourist spots by learning Japanese culture,Public Transportation Tours,,,37.13,6.0
Dinner Cruise in Tokyo Bay With The Symphony,Sightseeing Passes,,,231.68,3.0
Tokyo 7-Hour Free Choice Tour,Walking Tours,,,16.09,6.0
Licensed Guide Tokyo Traditional Dyeing Experience Tour,Art Tours,,,1485.12,2.5
Shinjuku Golden-gai and Kabuki-cho Bar Hopping with Master Guide,Food & Drink,,,25.0,2.5
Departure Private Transfer: Tokyo to Haneda Airport HND in Van,Transportation Services,,,1035.0,0.5
"Hitachi Seaside Park, Mito Kairakuen Park, Pear Picking",Audio Guides,,,3379.0,6.0
Private Worship Ceremony and Guided Tour at Kanda Shrine in Tokyo,Walking Tours,,,807.25,1.5
8-hour Kamakura tour by qualified guide using public transportation,Historical Tours,,,161.34,6.0
Tokyo shopping from home,Shopping Tours,,,760.19,24.0
3-Hour Odaiba Scenic Photo Walking Tour,Rail Tours,,,105.59,3.0
1 Day Family Fun at Fuji Private Tour,Full-day Tours,,,376.48,10.5
Japanese Sake tasting experience + Japanese snack set (Asakusa),Food & Drink,,,75.7,2.0
Japanese Dance Experience Program,Dance Lessons,,,86.88,1.5
Shibuya All You Can Eat & Drink Tour,Food & Drink,,,92.82,3.5
Kamakura Temples Private Guided Tour from Tokyo,Historical Tours,,,1700.0,6.0
Private Hakone Sightseeing Tour - Bilingual Chauffeur,Transportation Services,,,101.36,6.0
Experience Edo Tokyo Walking Tour,Bus Tours,,,1200.0,4.0
[14:00~] 60 minutes of flight simulation experience in a real cockpit! A must-see for airplane lovers,Fun & Games,,,2300.0,1.0
Private Wine Tasting Tour in Yamanashi Prefecture,Spring Break,,,86.88,6.0
Strawberry Picking and Snow experience at Mt Fuji ski resort for VIP,Bus Tours,,,673.32,6.0
10 Days In-depth Discover Japan Deluxe Tour,Audio Guides,,,148.42,72.0
Private Hiking Activity near Tokyo,Climbing,,,38.06,36.0
Tokyo Haneda Airport (HND) to Tachikawa City - Round-Trip Private Transfer,Transportation Services,,,600.0,2.5
Tokyo 1-Day Private Tour/Customization & Hotel Gathering OK!,Historical Tours,,,98.0,6.5
Private Walking Tour of Tokyo with a water bus ride. Rate for groups,Historical Tours,,,35.0,5.0
Drink comparison experience with sake matching test [Ochanomizu store],Restaurants,,,144.8,36.0
2-Hour Japanese Lunch Cooking Guided Class in Kagurazaka,Lunch,,,930.33,2.0
Private Tesla Car Tour of Tokyo's Best Sights - Half-Day,Bus Tours,,,434.4,5.0
"Mobile Wi-Fi Router Rental in Shinjuku, Tokyo",Rentals,,,37.21,396.0
KAIZEN 5S town Ashikaga city tour tour,Full-day Tours,,,361.69,6.0
Transforming Your Look with Second-Hand Fashion,Shopping Tours,,,45.0,2.0
"Private Karuizawa, Nagano Tour - Bilingual Chauffeur",Transportation Services,,,300.0,6.0
7-Day Best Japan Tour,Historical Tours,,,955.67,72.0
Private Adventure Tour in Northern Ibaraki and Washi Paper Making,Climbing,,,101.94,6.0
Transfer in private vehicle from Tokyo City Center to Narita Airport,Transportation Services,,,220.0,1.5
Tokyo Helicopter Cruising,Full-day Tours,,,1025.65,0.9
Tokyo Haneda Airport (HND) to Tokyo - Round-Trip Private Transfer,Transportation Services,,,2751.18,1.5
Private Airport Transfer from Narita Airport to Tokyo,Transportation Services,,,650.0,1.5
Karate trial lesson Traditional Japanese martial arts in Tokyo,Sports Lessons,,,339.0,1.0
Thriving Shinjuku History & Fancy Sake Walking Tour,Food & Drink,,,371.98,2.5
Personal Tokyo Photographer for Hire,Full-day Tours,,,289.6,2.0
6 Days Best Japan Group Tours,Bus Tours,,,75.0,72.0
Handwriting Kanji with Ink on T-shirt Private Art Class in Tokyo,Art Classes,,,781.91,2.5
Mt. Fuji & Hakone a day tour from Tokyo by car,Bus Tours,,,1009.97,6.0
Private 6-Day Japan Exclusive Tour,Food & Drink,,,28.96,72.0
Special event with Kabuki workshop at National Theatre,Theater Shows,,,376.48,4.0
"1Day private Nature＆Hotspring Tour /English speaking driver(Chater,Chauffeur)",Historical Tours,,,286.43,6.0
Sake Brewery and Spiritual Nature Tour in Okutama Tokyo,Spring Break,,,202.8,9.0
Sake Sake Beer Tour in Tokyo,Food & Drink,,,71.89,2.0
Tokyo Night Tour: A Unique Experience,Bus Tours,,,66.83,4.5
Exploring Everyday Life in Downtown Tokyo Walking with shiba-inu,Food & Drink,,,2533.98,3.5
Experience Sunday International Party in Shibuya,Food & Drink,,,190.28,2.5
Eat and drink with a local in hidden gems,Food & Drink,,,94.12,4.0
Mt. Fuji Cherry Blossom One Day Tour From Tokyo,Adventure Tours,,,130.32,9.0
Full Day Private Tour in Hida and Great Limestone Cave,Bus Tours,,,579.2,6.0
Tokyo Disneyland Shared Transfer : from Tokyo to Disneyland (One Way),Transportation Services,,,144.85,1.5
Tokyo Airport Transfers: Tokyo City to Tokyo-Narita Airport NRT in Luxury Car,Transportation Services,,,450.0,1.0
Private Koto Workshop Tatami Room in Tokyo,Music Classes,,,275.12,1.0
Private Narita Airport Pickup / Drop off (Tokyo),Transportation Services,,,159.28,2.0
5-Hour JDM Car Scene Tour in Tokyo - Tokyo Drift Veilside RX7,Bus Tours,,,159.28,3.5
Yanesen: Explore Traditional Life & Beauty Tour,City Tours,,,120.0,3.5
Transfer in private minivan from Tokyo City Center to Narita Airport,Transportation Services,,,96.07,1.5
Honeymoon Special drive tour in Tokyo with Photographic & Bubble,Luxury Car Tours,,,440.0,4.0
Japan Autumn & Winter Illuminations Discovery Tour (12 Days),Photo Shoots,,,230.77,72.0
Tokyo Photogenic spots visiting tour,Bus Tours,,,78.9,4.0
ANGLE - Tokyo With a Local Photographer,Walking Tours,,,36.2,1.0
Tokyo Walking Tour with professional guide,Historical Tours,,,3200.0,1.8
Tailored Tokyo city tour based on request,Rail Tours,,,224.65,6.0
VEGAN Gluten-Free/ HARAL Ramen and Gyouza,Food & Drink,,,5939.0,3.0
From Tokyo: Nikko UNESCO Shrines and Nature Walk Private Day Tour,Historical Tours,,,217.2,10.0
"Nikko Private Tour from Tokyo: English Speaking Driver, No guide",Bus Tours,,,371.28,6.0
Shinjuku Walking Food Tour with Ninja Action Video Shooting,Sports Lessons,,,334.0,3.0
Highlight walking tour in Tokyo with Maru,Shore Excursions,,,422.35,7.5
Private Transfer: Haneda Airport HND to Tokyo in Sedan Car,Transportation Services,,,57.92,0.5
One day Experience Tokyo & Edo Culture,Historical Tours,,,39.31,6.0
Tokyo to Tokyo Narita Airport (NRT) - Departure Private Car Transfer,Transportation Services,,,286.43,1.5
Japanese Homemade Bread Lesson,Food & Drink,,,604.54,2.5
Japan Discovery Tour (12 Days),Bus Tours,,,204.5,72.0
Private tour in Tokyo on your own custom itinerary,Public Transportation Tours,,,46.19,7.0
"World famous fish markets, street food or/and sushi",Public Transportation Tours,,,59.4,4.0
Exquisite Noh Experience at a Japanese Family's Home Theater,Art Classes,,,310.59,2.0
Tokyo Highlights Food and Culture,Architecture Tours,,,571.96,6.0
Tokyo Hikarigaoka Park Photo Shooting,Photo Shoots,,,84.11,1.5
Private Walking Tour with Bar Hopping in Shinjuku,Food & Drink,,,21.72,2.5
Private dinner : Sowaka Bar in Tokyo Ginza,Food & Drink,,,72.77,3.0
Tokyo Tour for Children to Enjoy! Japanese Crafts Experience,Food & Drink,,,749.52,6.0
Off the beaten path special in Tokyo by walking,Food & Drink,,,1107.71,5.0
Private Custom Hakone from Tokyo with Pirate Ship Cruise,Rail Tours,,,398.2,6.0
"Nikko, Nature and World Heritage",Bus Tours,,,615.4,6.0
Private Night Walking Tour Shibuya Bar Hopping w. Master Guide,Food & Drink,,,212.21,2.5
Shibuya Anime Tour,Walking Tours,,,151.64,3.0
Private Muslim Tokyo Tour,Bus Tours,,,108.6,6.0
Round trip transfer in private minivan from-to Narita Airport-Tokyo City Center,Transportation Services,,,422.35,1.5
[Private] Tokyo Personalized Tour (Guide Only),Historical Tours,,,286.43,7.0
Tokyo Off the Beaten Track Local Sake Drinking Tour,Food & Drink,,,832.59,2.5
"Discover the Secrets of Pachinko, Japan's Most Popular Game",VR Experiences,,,63.71,3.0
【30minutes】Showa Retro Rickshaw Tour in Asakusa,City Tours,,,1027.52,0.5
Private 7-Day Japan Classic Tour,Food & Drink,,,434.4,72.0
Tokyo Airport Transfers: Tokyo City to Tokyo-Narita Airport NRT in Business Car,Transportation Services,,,260.0,1.0
10-Day Golden Route of Japan,Bus Tours,,,39.31,72.0
1 Day Tokyo Highlight Including a Cultural Workshop,Historical Tours,,,63.78,6.0
Private photo shooting in Tokyo,Rail Tours,,,43.02,1.5
Private Market Tour and Traditional Japanese Cooking Class in Asakusa,Shopping Tours,,,1194.74,3.5
Private Transfer: Tokyo to Haneda Airport HND in Luxury Car,Transportation Services,,,14.85,0.5
"Licensed Guide ""Wagashi"" (Japanese Sweets) Experience Tour (Tokyo)",Food & Drink,,,275.12,2.0
Private Transfer from Tokyo Port to Tokyo Haneda Int Airport(HND),Transportation Services,,,85.0,0.4
Private Transfer: Tokyo to Haneda Airport HND in Sedan Car,Transportation Services,,,350.0,0.5
Private Sushi Making and Tsukiji Tour with Additional Activity,Food & Drink,,,28.96,6.0
Highlights of Tokyo Day Trip for Standard Interests,Historical Tours,,,36.2,6.0
Male Kimono Plan,Fun & Games,,,59.4,2.0
High quality Japanese food for Japanese gourmets,Food & Drink,,,9701.53,0.0
Mt. Fuji’s Fifth Station & Lake Kawaguchiko Cycling Tour,Walking Tours,,,178.21,6.0
Samurai Private Tour with Lantern Making in Mito,Lantern Festival,,,65.16,6.0
Private Cooking Lesson With a Tokyo Native Makiko in Her Local Home,Unique Experiences,,,181.0,3.0
Sacred Morning Walk and Brunch Meiji Shrine,Breakfast,,,1188.09,1.5
Machi-Nomi Kita-senju (Bar hopping night tour in local haunts),Food & Drink,,,252.73,3.0
Private Chartered Taxi Tour of Tokyo,Historical Tours,,,130.32,6.0
Full-day Private Tour in Hakone with Hotel Pick-up,Historical Tours,,,143.35,9.0
Professionally guided Tokyo Private Walking Tour,Rail Tours,,,586.44,7.0
Book a jumbo taxi in Tokyo,Transportation Services,,,72.4,6.0
Tokyo by Yourself with English Speaking driver by Van -4 or 6 hrs,Transportation Services,,,25.34,6.0
Tokyo Downtown Photoshoot & Learn,Art Classes,,,181.0,2.5
2 Hours Walking Tour in Asakusa,Historical Tours,,,417.52,2.0
Private Transfer: Haneda Airport HND to Tokyo in Luxury Car,Transportation Services,,,52.79,0.5
Departure Private Transfer: Tokyo to Haneda Airport HND in Sedan,Transportation Services,,,269.58,0.5
Design and Take Home Your Glass Art with Japanese Motifs in Tokyo,Art Classes,,,108.6,1.5
Private Full-Day Guided Tour in Mount Fuji Lakes,Transportation Services,,,253.4,12.0
To Become Younger Food Tour in Asakusa Tokyo,Food & Drink,,,760.0,3.0
Nihon Buyō Japanese Traditional Dance Experience,Dance Lessons,,,159.28,0.8
Akihabara Private Tour with an Anime Lover Guide,Historical Tours,,,408.41,3.0
Asakusa: Ultimate 3-geisha experience for group of max 4 after history tour,Full-day Tours,,,477.84,6.0
Full Day Tokyo Chartered Taxi Tour From Narita,Transportation Services,,,185.34,6.0
Tokyo Haneda Airport Private Transfer,Transportation Services,,,50.55,0.8
Private Transfer from Tokyo Haneda Int Airport(HND) to Tokyo Port,Rail Tours,,,800.0,0.4
Kawagoe Walking Tour & Traditional Japanese Experience,Food & Drink,,,350.41,3.5
 Japanese Restaurant SAKURA Sushi Lunch Set Reservation,Bus Tours,,,101.36,1.5
2-Day Private Guided Historical Tour in Takayama City,Dinner,,,112.33,48.0
Tokyo Imperial Palace International Group Jog,Architecture Tours,,,398.2,2.0
Discover your Tokyo -Private Tokyo Customized Walking Tour-,Food & Drink,,,186.94,6.0
All you can drink food & drink tour,Food & Drink,,,459.68,3.0
Japanese Calligraphy and Local Shopping Street Walk,Transportation Services,,,350.46,3.5
Yokohama Cruise Port Private Transfer,Historical Tours,,,224.65,5.5
Licensed Guide Tokyo Seven Lucky Gods Temple and Shrine Tour,City Tours,,,366.67,2.0
【30minutes】Edo Period Shitamachi Rickshaw Tour in Asakusa,Food & Drink,,,1096.85,0.5
Yoko's plant-based home cooking experience in Tokyo,Transportation Services,,,339.0,2.5
SKY TREK Shinshu Myojinkan Private Jet Tour,Food & Drink,,,505.47,72.0
Wagaya Japanese Cooking Lesson,Rail Tours,,,175.21,3.0
Nightlife one-stop experience / Discover the true Japan in TO GO Shrine,E-Bike Tours,,,300.0,3.5
Tokyo Winter Illumination Tour,Art Classes,,,63.71,3.0
The Imperial Hotel Japanese Kimono Private Experience,Bus Tours,,,1737.59,2.0
Barrier-Free Private Mt. Fuji Tour for Wheelchair Users,Historical Tours,,,130.0,11.5
 The best of Tokyo Walking tour,Transportation Services,,,181.0,2.0
Tokyo HND/NRT Airport / Hotel Private Pickup,Martial Arts Classes,,,434.4,1.0
Samurai Warrior Experience (with Costume Wearing),Bus Tours,,,63.71,1.5
Kamakura All Must-Sees Private Chauffeur Sightseeing with a Driver (Tokyo DEP.),Rentals,,,280.82,6.0
Enjoy Tokyo Drive with Tuk Tuk Rent A Car!,Craft Classes,,,161.34,4.0
Hand Made Goshuin Book Experience Eco Friendly Upcycling,Rentals,,,528.52,0.8
"Private training in Asakusa Dojo, variable start time, 80-min.",Full-day Tours,,,477.84,1.5
Paragliding in tandem style over Mount Fuji,Transportation Services,,,159.28,6.0
Tokyo Haneda Airport (HND) to Tokyo - Arrival Private Transfer,Transportation Services,,,133.33,0.8
Tokyo Departure Private Transfers from Tokyo City to Tokyo-Narita Airport NRT,Spas,,,318.56,1.0
Aroma Massage with cherry blossom infused oil,Public Transportation Tours,,,181.0,2.0
Private Tokyo Tour with a Japanese Guide,Full-day Tours,,,138.57,7.0
[Private] Tokyo Personalized Tour with An English Speaking Guide,Public Transportation Tours,,,199.79,10.0
6-hour Tokyo tour with a qualified tour guide using public transport,Historical Tours,,,325.8,6.0
Tea ceremony tour in Ueno with kimono guide,Bus Tours,,,637.12,4.0
2-Hour Tokyo Tour in Tokyo Drift Mazda RX7,Rail Tours,,,350.46,2.0
Private English / French / Spanish guiding tours,Transportation Services,,,28.96,5.5
Private Transfer from Nagasaki Hotels to Nagasaki Cruise Port,Full-day Tours,,,181.0,0.2
Private Tokyo Tour - up to 9 Travelers,Art Classes,,,133.33,6.0
Private Premium​ Plan Kimono & Japanese Tea Ceremony Experience,Architecture Tours,,,340.0,3.0
Street food and off the beaten track around Shibuya,Transportation Services,,,97.74,6.0
Private transfer: Tokyo to Tokyo Airport (HND),Architecture Tours,,,157.79,1.0
Tokyo Architecture and Contemporary Art Walking Tour with a local guide,Likely To Sell Out,,,183.34,7.0
"Fun Afternoon in Yanaka, Tokyo's old town",Valentine's Day Events,,,231.68,3.0
 Romantic Tour In Tokyo,Transportation Services,,,235.88,2.0
Private Transfer: Haneda Airport HND to Tokyo in Luxury Van,Transportation Services,,,202.72,0.5
Tokyo Departure Private Transfers from Tokyo City to Tokyo-Narita Airport NRT,Transportation Services,,,,1.0
Round trip transfer in private car from-to Narita Airport in Tokyo City Center,Bus Tours,,,,1.5
Hakone Gotemba Full Day Tour from Tokyo with Guide and Vehicle,Photo Shoots,,,,6.0
Experience Asakusa with Local photographer - A Private Session,4WD Tours,,,,1.0
2 Days Drift Japan Tokyo to Ebisu Private Tour,Audio Guides,,,,48.0
Asakusa: Traditional exquisite lunch after history tour,Transportation Services,,,,4.0
Private Haneda Airport Pickup / Drop off (Tokyo),Art Classes,,,,2.0
"45 Minutes Taisho Art Class Live Performance in Asakusa, Tokyo",Transportation Services,,,,0.8
One Way Private Shuttle to Nagano Ski Centers,Food & Drink,,,,9.0
Japanese pub crawl in Tokyo,Food & Drink,,,,2.5
Full-Day Private Tour in New Shibuya,Rail Tours,,,,5.5
Taiko Japanese Drum Experience in Tokyo,Music Classes,,,,2.0
Koto Japanese Traditional Instrument Experience,Photo Shoots,,,,0.8
Private Photo Session with a Local Photographer in Tokyo,Transportation Services,,,,0.5
Transfer in private vehicle from Tokyo Narita Airport to City Center,Transportation Services,,,,1.5
Tokyo And Kanto Private Customized Day Tour,Lunch,,,,6.0
Yanagi gallery in Ginza for private hire With lunch,Public Transportation Tours,,,,1.5
Bonsai and Washi Museum visit in Tokyo,Transportation Services,,,,4.0
Departure Private Transfer from Tokyo City to Narita Airport NRT by Business Car,Historical Tours,,,,1.5
1 Day Seki Mino and National Treasure Inuyama Castle from Nagoya,Art Classes,,,,6.0
Akasaka Japanese Kimono Experience,Fun & Games,,,,2.0
Friends Plan,Historical Tours,,,,2.0
Full Day Tokyo Chartered Taxi Tour,City Tours,,,,6.0
"Tokyo Walking tour 6 hours (Tsukuji Fish Market, Asakusa, Ginza, Imperial Palace",Fun & Games,,,,6.0
Wedding Photo Plan at Roppongi,Transportation Services,,,,3.0
Arrival Private Transfer: Haneda Airport HND to Tokyo in Van,Food & Drink,,,,0.5
Private Guided Bar Hopping with Food and Drink Tour in Shinjuku,Public Transportation Tours,,,,2.0
"Tokyo highlights, High Rise Observatory, Meiji shrine, Imperial palace Garden",Transportation Services,,,,6.0
Private Transfer from Tokyo City to Narita Airport NRT by van,Transportation Services,,,,1.5
Private Round Trip Transfer to Tokio Narita Airport,Audio Guides,,,,1.1
"Watarase Keikoku Railway, Takatsudo Gorge,Illumination at Ashikaga Flower Park",Full-day Tours,,,,6.0
"Private Lunch with Sayuki, the First Western Geisha",Transportation Services,,,,2.0
Transfer in private vehicle from Tokyo City Center to Narita Airport,Full-day Tours,,,,1.5
Private Custom Day Tour in Tokyo City,Transportation Services,,,,6.0
Tokyo Private Transfer from Tokyo central to Narita Airport (NRT),Food & Drink,,,,1.0
Why don't you make Sushi? Sushi Making Experience,,,,,2.5
